Date,BND,SPY,TSLA
2015-01-02,60.385982513427734,170.58958435058594,14.620667457580566
2015-01-05,60.56135559082031,167.5088348388672,14.005999565124512
2015-01-06,60.73666763305664,165.9310760498047,14.085332870483398
2015-01-07,60.773250579833984,167.9987335205078,14.063332557678223
2015-01-08,60.678218841552734,170.97988891601562,14.041333198547363
2015-01-09,60.78050994873047,169.60975646972656,13.77733325958252
2015-01-12,60.860870361328125,168.2810821533203,13.480667114257812
2015-01-13,60.919342041015625,167.80776977539062,13.616666793823242
2015-01-14,61.05814743041992,166.79466247558594,12.845999717712402
2015-01-15,61.32850646972656,165.26675415039062,12.791333198547363
2015-01-16,61.145870208740234,167.43411254882812,12.871333122253418
2015-01-20,61.08008575439453,167.79116821289062,12.795332908630371
2015-01-21,60.96316909790039,168.63821411132812,13.104666709899902
2015-01-22,60.977783203125,171.14596557617188,13.441332817077637
2015-01-23,61.175045013427734,170.20761108398438,13.419333457946777
2015-01-26,61.101985931396484,170.60623168945312,13.770000457763672
2015-01-27,61.138526916503906,168.3558349609375,13.732000350952148
2015-01-28,61.35768127441406,166.19679260253906,13.291333198547363
2015-01-29,61.29195785522461,167.7330322265625,13.680000305175781
2015-01-30,61.62799835205078,165.62380981445312,13.573332786560059
2015-02-02,61.554805755615234,167.6748809814453,14.062666893005371
2015-02-03,61.364444732666016,170.09967041015625,14.557332992553711
2015-02-04,61.38645935058594,169.45204162597656,14.569999694824219
2015-02-05,61.25466537475586,171.1625518798828,14.732666969299316
2015-02-06,60.85929870605469,170.68927001953125,14.490667343139648
2015-02-09,60.83732986450195,169.92532348632812,14.498666763305664
2015-02-10,60.72756576538086,171.73558044433594,14.419333457946777
2015-02-11,60.72756576538086,171.83518981933594,14.186667442321777
2015-02-12,60.75684356689453,173.48776245117188,13.525333404541016
2015-02-13,60.61774826049805,174.20191955566406,13.584667205810547
2015-02-17,60.37615203857422,174.47589111328125,13.623332977294922
2015-02-18,60.544532775878906,174.4924774169922,13.630666732788086
2015-02-19,60.493289947509766,174.367919921875,14.11400032043457
